No,Brand,Category,Theme_Description,Keywords,Primary_Color,Secondary_Color,Accent_Color,Background_Color,Text_Color,Heading_Font,Body_Font,Typography_Mood,Button_Style,Card_Style,Shadow_Style,Border_Radius_Style,Spacing_Base,Dos,Donts,Key_Characteristics,Design_MD_Path
40,Revolut,Fintech & Crypto,"Revolut's website is fintech confidence distilled into pixels — a design system that communicates ""your money is in capable hands"" through massive typography, generous whitespace, and a disciplined neutral palette. The visual language is built on Aeonik Pro, a geometric grotesque that creates bil...","revolut, fintech & crypto, geometric, fintech, pill, neutral, blue, green, yellow, pink, black, white",#191c1f,#f4f4f4,#e23b4a,#ffffff,#4f55f1,Aeonik Pro,Inter,bold,Background: `#191c1f`; Text: `#ffffff`; Padding: 14px 32px; Radius: 9999px (full pill); Hover: opacity 0.85,"Radius: 12px (small), 20px (cards); No shadows — flat surfaces with color contrast",,,8px,Use Aeonik Pro weight 500 for all display headings; Apply 9999px radius to all buttons — pill shape is universal; Use generous button padding (14px 32px); Keep the palette to near-black + white for marketing surfaces; Apply positive letter-spacing on Inter body text,Don't use shadows — Revolut is flat by design; Don't use bold (700) for Aeonik Pro headings — 500 is the weight; Don't use small buttons — the generous padding is intentional; Don't apply semantic colors to marketing surfaces — they're for the product,"Aeonik Pro display at 136px weight 500 — billboard-scale fintech headlines; Near-black (`#191c1f`) + white binary with comprehensive `--rui-*` semantic tokens; Universal pill buttons (9999px radius) with generous padding (14px 32px); Inter for body text with positive letter-spacing (0.16px–0.24px); Rich semantic color system: blue, teal, pink, yellow, green, brown, danger, warning; Zero shadows detected — depth through color contrast only; Tight display line-heights (1.00) with relaxed body (...",design-md/revolut/DESIGN.md
41,Runway,AI & Machine Learning,"Runway's interface is a cinematic reel brought to life as a website — a dark, editorial, film-production-grade design where full-bleed photography and video ARE the primary UI elements. This is not a typical tech product page; it's a visual manifesto for AI-powered creativity. Every section feels...","runwayml, ai & machine learning, dark, minimal, editorial, cinematic, cool, ai, neutral, red",#000000,#030303,#1a1a1a,#fefefe,#404040,abcNormal,abcNormal,"tight, editorial, precision","Text: weight 600 at 14px abcNormal; Background: likely transparent or dark, with minimal border; Radius: small (4px) for button-like links; The button design is extremely restrained — no heavy fills or borders detected",Background: transparent or Dark Surface (`#1a1a1a`); Border: `1px solid #27272a` (dark mode) — barely visible containment; Radius: small (4–8px) for functional elements; 16px for alert-style containers; Shadow: zero — no shadows on any element,,,8px,"Use full-bleed cinematic photography as the primary visual element; Use abcNormal for all text — maintain the single-typeface commitment; Keep display line-heights at 1.0 with negative letter-spacing for film-title density; Use the cool-gray neutral palette (#767d88, #7d848e) for secondary text; Maintain zero shadows — depth comes from photography and section backgrounds; Use uppercase with letter-spacing for navigational labels (14px, 0.35px spacing); Apply small border-radius (4–8px) — the des","Don't add decorative colors to the interface — the only color comes from photography; Don't use heavy borders or shadows — the interface must be nearly invisible; Don't use pill-shaped radius — Runway's geometry is subtly rounded, not circular; Don't use bold (700+) weight — 400–600 is the full range, with 450 as a precision tool; Don't compete with the visual content — text overlays should be minimal and restrained; Don't use gradient backgrounds in the interface — gradients exist only in photo","Cinematic full-bleed photography and video as primary UI elements; Single typeface system: abcNormal for everything from display to micro labels; Dark-dominant palette with cool-toned neutrals (#767d88, #7d848e); Zero shadows, minimal borders — the interface is intentionally invisible; Tight display typography (line-height 1.0) with negative tracking (-0.9px to -1.2px); Uppercase labels with positive letter-spacing for navigational structure; Weight 450 (unusual intermediate) for small upperc...",design-md/runwayml/DESIGN.md
42,Sanity,Infrastructure & Cloud,"Sanity's website is a developer-content platform rendered as a nocturnal command center -- dark, precise, and deeply structured. The entire experience sits on a near-black canvas (`#0b0b0b`) that reads less like a ""dark mode toggle"" and more like the natural state of a tool built for people who l...","sanity, infrastructure & cloud, dark, warm, cool, developer, ai, dark mode, pill, neutral, blue, green, red, black",#0b0b0b,#000000,#0052ef,#212121,#ffffff,waldenburgNormal,waldenburgNormal,"tight, editorial, functional, technical",Background: Sanity Red (`#f36458`); Text: White (`#ffffff`); Padding: 8px 16px; Border Radius: 99999px (full pill); Border: none,Background: `#212121`; Border: 1px solid `#353535` or `#212121`; Border Radius: 6px; Padding: 24px; Hover: subtle border color shift or elevation change,| Level | Value | Usage |,,,"Use the achromatic gray scale as the foundation -- maintain pure neutral discipline with no warm/cool tinting; Apply Electric Blue (`#0052ef`) consistently as the universal hover/active state across all interactive elements; Use extreme negative letter-spacing (-2px to -4.48px) on display headings 48px and above; Keep primary CTAs as full-pill shapes (99999px radius) with the coral-red (`#f36458`); Use IBM Plex Mono uppercase for technical labels, tags, and system metadata; Communicate depth thr",Don't introduce warm or cool color tints to the neutral scale -- Sanity's grays are pure achromatic; Don't use drop shadows for elevation -- dark interfaces demand colorimetric depth; Don't apply border-radius between 13px and 99998px -- the system jumps from 12px (large card) directly to pill (99999px); Don't mix the coral-red CTA with the electric blue interactive color in the same element; Don't use heavy font weights (700+) -- the system maxes out at 600 and only for 11px uppercase labels; D,"Near-black canvas (`#0b0b0b`) as the default, natural environment -- not a dark ""mode"" but the primary identity; waldenburgNormal with extreme negative tracking at display sizes, creating a precision-engineered typographic voice; Pure achromatic gray scale -- no warm or cool undertones, pure neutral discipline; Vivid accent punctuation: neon green, electric blue (`#0052ef`), and coral-red (`#f36458`) against the dark field; Pill-shaped primary buttons (99999px radius) contrasting with subtle ...",design-md/sanity/DESIGN.md
43,Sentry,Developer Tools,"Sentry's website is a dark-mode-first developer tool interface that speaks the language of code editors and terminal windows. The entire aesthetic is rooted in deep purple-black backgrounds (`#1f1633`, `#150f23`) that evoke the late-night debugging sessions Sentry was built for. Against this inky...","sentry, developer tools, dark, light, warm, developer, ai, vibrant, purple, green, pink, black, monospace",#1f1633,#150f23,#6a5fc1,#ffffff,#e5e7eb,Dammit Sans,Rubik,"sans, clean, functional, technical, tight","Background: `#79628c` (rgb(121, 98, 140)); Text: `#ffffff`, uppercase, 14px, weight 500–700, letter-spacing 0.2px; Border: `1px solid #584674`; Radius: 13px; Hover: elevated shadow `rgba(0, 0, 0, 0.18) 0px 0.5rem 1.5rem`","Background: semi-transparent or dark purple surfaces; Radius: 8px–12px; Shadow: `rgba(0, 0, 0, 0.1) 0px 10px 15px -3px`","| Sunken (Level -1) | Inset shadow `rgba(0, 0, 0, 0.1) 0px 1px 3px inset` | Primary buttons (tactile pressed feel) |",,8px,"Use deep purple backgrounds (`#1f1633`, `#150f23`) — never pure black (`#000000`); Apply inset shadows on primary buttons for the tactile pressed effect; Use Dammit Sans ONLY for hero/display headings — Rubik for everything else; Apply `text-transform: uppercase` with `letter-spacing: 0.2px` on buttons and labels; Use the lime-green accent (`#c2ef4e`) sparingly for maximum impact; Employ frosted glass effects (`blur(18px) saturate(180%)`) for layered surfaces; Maintain the warm purple shadow ton","Don't use pure black (`#000000`) for backgrounds — always use the warm purple-blacks; Don't apply Dammit Sans to body text or UI elements — it's display-only; Don't use standard gray (`#666`, `#999`) for borders — use purple-tinted grays (`#362d59`, `#584674`); Don't drop the uppercase treatment on buttons — it's a system-wide pattern; Don't use sharp corners (0px radius) — minimum 6px for all interactive elements; Don't mix the lime-green accent with the coral/pink accents in the same component","Dark purple-black backgrounds (`#1f1633`, `#150f23`) — never pure black; Warm purple accent spectrum: from deep (`#362d59`) through mid (`#79628c`, `#6a5fc1`) to vibrant (`#422082`); Lime-green accent (`#c2ef4e`) for high-visibility CTAs and highlights; Pink/coral accents (`#ffb287`, `#fa7faa`) for focus states and secondary highlights; ""Dammit Sans"" display font for brand personality at hero scale; Rubik as primary UI font with uppercase letter-spaced labels; Monaco monospace for code elemen...",design-md/sentry/DESIGN.md
44,SpaceX,Enterprise & Consumer,"SpaceX's website is a full-screen cinematic experience that treats aerospace engineering like a film — every section is a scene, every photograph is a frame, and the interface disappears entirely behind the imagery. The design is pure black (`#000000`) with photography of rockets, space, and plan...","spacex, enterprise & consumer, light, cinematic, bold, industrial, ai, blue, black, white",#000000,,,,#f0f0fa,D-DIN-Bold,D-DIN,"industrial, bold, tight","Background: `rgba(240, 240, 250, 0.1)` (barely visible); Text: Spectral White (`#f0f0fa`); Padding: 18px; Radius: 32px; Border: `1px solid rgba(240, 240, 250, 0.35)`",,"| Overlay (Level 1) | `rgba(0, 0, 0, 0.5)` gradient | Text legibility layer over photography |",,8px,"Use full-viewport photography as the primary design element — every section is a scene; Apply uppercase + positive letter-spacing to ALL text — the aerospace stencil voice; Use D-DIN exclusively — no other fonts exist in the system; Keep the color palette to black + spectral white (`#f0f0fa`) only; Use ghost buttons (`rgba(240,240,250,0.1)`) as the sole interactive element; Apply dark gradient overlays for text legibility on photographs; Let photography carry the emotional weight — the type syst","Don't add cards, panels, or containers — text sits directly on photography; Don't use shadows — they have no meaning in a photographic context; Don't introduce colors — the palette is strictly achromatic with spectral tint; Don't use sentence case — everything is uppercase; Don't use negative letter-spacing — all tracking is positive (0.96px–1.17px); Don't reduce photography to thumbnails — every image is full-viewport; Don't add decorative elements (icons, badges, dividers) — the design is phot","Pure black canvas with full-viewport cinematic photography — the interface is invisible; D-DIN / D-DIN-Bold — industrial DIN-heritage typeface; Universal uppercase + positive letter-spacing (0.96px–1.17px) — aerospace stencil aesthetic; Near-white spectral text (`#f0f0fa`) — not pure white, a slight blue-violet tint; Zero shadows, zero cards, zero containers — text on image only; Single ghost button: `rgba(240,240,250,0.1)` background with spectral border; Full-viewport sections — each sectio...",design-md/spacex/DESIGN.md
45,Spotify,Enterprise & Consumer,"Spotify's web interface is a dark, immersive music player that wraps listeners in a near-black cocoon (`#121212`, `#181818`, `#1f1f1f`) where album art and content become the primary source of color. The design philosophy is ""content-first darkness"" — the UI recedes into shadow so that music, pod...","spotify, enterprise & consumer, dark, immersive, content-first, touch-optimized, music, dark theme, pill, rounded, green, red, black",#1ed760,#121212,#f3727f,#252525,#ffffff,SpotifyMixUITitle,SpotifyMixUI,"bold, compact, functional",Background: `#1f1f1f`; Text: `#ffffff` or `#b3b3b3`; Padding: 8px 16px; Radius: 9999px (full pill); Background: `#181818`,"Background: `#181818` or `#1f1f1f`; Radius: 6px–8px; No visible borders on most cards; Hover: slight background lightening; Shadow: `rgba(0,0,0,0.3) 0px 8px 8px` on elevated","| Elevated (Level 2) | `rgba(0,0,0,0.3) 0px 8px 8px` | Dropdown menus, hover cards |",,8px,"Use near-black backgrounds (`#121212`–`#1f1f1f`) — depth through shade variation; Apply Spotify Green (`#1ed760`) only for play controls, active states, and primary CTAs; Use pill shape (500px–9999px) for all buttons — circular (50%) for play controls; Apply uppercase + wide letter-spacing (1.4px–2px) on button labels; Keep typography compact (10px–24px range) — this is an app, not a magazine; Use heavy shadows (`0.3–0.5 opacity`) for elevated elements on dark backgrounds; Let album art provide ","Don't use Spotify Green decoratively or on backgrounds — it's functional only; Don't use light backgrounds for primary surfaces — the dark immersion is core; Don't skip the pill/circle geometry on buttons — square buttons break the identity; Don't use thin/subtle shadows — on dark backgrounds, shadows need to be heavy to be visible; Don't add additional brand colors — green + achromatic grays is the complete palette; Don't use relaxed line-heights — Spotify's typography is compact and dense; Don","Near-black immersive dark theme (`#121212`–`#1f1f1f`) — UI disappears behind content; Spotify Green (`#1ed760`) as singular brand accent — never decorative, always functional; SpotifyMixUI/CircularSp font family with global script support; Pill buttons (500px–9999px) and circular controls (50%) — rounded, touch-optimized; Uppercase button labels with wide letter-spacing (1.4px–2px); Heavy shadows on elevated elements (`rgba(0,0,0,0.5) 0px 8px 24px`); Semantic colors: negative red (`#f3727f`),...",design-md/spotify/DESIGN.md
46,Stripe,Infrastructure & Cloud,"Stripe's website is the gold standard of fintech design -- a system that manages to feel simultaneously technical and luxurious, precise and warm. The page opens on a clean white canvas (`#ffffff`) with deep navy headings (`#061b31`) and a signature purple (`#533afd`) that functions as both brand...","stripe, infrastructure & cloud, light, luxurious, premium, warm, clean, technical, fintech, purple, blue, red, black, white",#533afd,#1c1e54,#ea2261,#e5edf5,#061b31,sohne-var,sohne-var,"light, confident, geometric, bold","Background: `#533afd`; Text: `#ffffff`; Padding: 8px 16px; Radius: 4px; Font: 16px sohne-var weight 400, `""ss01""`","Background: `#ffffff`; Border: `1px solid #e5edf5` (standard) or `1px solid #061b31` (dark accent); Radius: 4px (tight), 5px (standard), 6px (comfortable), 8px (featured); Shadow (standard): `rgba(50,50,93,0.25) 0px 30px 45px -30px, rgba(0,0,0,0.1...","| Ambient (Level 1) | `rgba(23,23,23,0.06) 0px 3px 6px` | Subtle card lift, hover hints |",,8px,"Use sohne-var with `""ss01""` on every text element -- the stylistic set IS the brand; Use weight 300 for all headlines and body text -- lightness is the signature; Apply blue-tinted shadows (`rgba(50,50,93,0.25)`) for all elevated elements; Use `#061b31` (deep navy) for headings instead of `#000000` -- the warmth matters; Keep border-radius between 4px-8px -- conservative rounding is intentional; Use `""tnum""` for any tabular/financial number display; Layer shadows: blue-tinted far + neutral close","Don't use weight 600-700 for sohne-var headlines -- weight 300 is the brand voice; Don't use large border-radius (12px+, pill shapes) on cards or buttons -- Stripe is conservative; Don't use neutral gray shadows -- always tint with blue (`rgba(50,50,93,...)`); Don't skip `""ss01""` on any sohne-var text -- the alternate glyphs define the personality; Don't use pure black (`#000000`) for headings -- always `#061b31` deep navy; Don't use warm accent colors (orange, yellow) for interactive elements -","sohne-var with OpenType `""ss01""` on all text -- a custom stylistic set that defines the brand's letterforms; Weight 300 as the signature headline weight -- light, confident, anti-convention; Negative letter-spacing at display sizes (-1.4px at 56px, progressive relaxation downward); Blue-tinted multi-layer shadows using `rgba(50,50,93,0.25)` -- elevation that feels brand-colored; Deep navy (`#061b31`) headings instead of black -- warm, premium, financial-grade; Conservative border-radius (4px-...",design-md/stripe/DESIGN.md
47,Supabase,Developer Tools,"Supabase's website is a dark-mode-native developer platform that channels the aesthetic of a premium code editor — deep black backgrounds (`#0f0f0f`, `#171717`) with emerald green accents (`#3ecf8e`, `#00c573`) that reference the brand's open-source, PostgreSQL-green identity. The design system f...","supabase, developer tools, dark, premium, geometric, technical, developer, pill, rounded, neutral, green, black, serif, sans-serif",#3ecf8e,#171717,#00c573,#0f0f0f,#4d4d4d,Circular,Circular,"bold, monospace, technical, geometric",Background: `#0f0f0f`; Text: `#fafafa`; Padding: 8px 32px; Radius: 9999px (full pill); Border: `1px solid #fafafa` (white border on dark),Background: dark surfaces (`#171717` or slightly lighter); Border: `1px solid #2e2e2e` or `#363636`; Radius: 8px–16px; No visible shadows — borders define edges; Internal padding: 16px–24px,"| Focus (Level 2) | `rgba(0, 0, 0, 0.1) 0px 4px 12px` | Focus states only |",,8px,"Use near-black backgrounds (`#0f0f0f`, `#171717`) — depth comes from the gray border hierarchy; Apply Supabase green (`#3ecf8e`, `#00c573`) sparingly — it's an identity marker, not a decoration; Use Circular at weight 400 for nearly everything — 500 only for buttons and nav; Set hero text to 1.00 line-height — the zero-leading is the typographic signature; Create depth through border color differences (`#242424` → `#2e2e2e` → `#363636`); Use pill shape (9999px) exclusively for primary CTAs and t","Don't add box-shadows — they're invisible on dark backgrounds and break the border-defined depth system; Don't use bold (700) text weight — the system uses 400 and 500 only; Don't apply green to backgrounds or large surfaces — it's for borders, links, and small accents; Don't use warm colors (crimson, orange) as primary design elements — they exist as semantic tokens for states; Don't increase hero line-height above 1.00 — the density is intentional; Don't use large border radius (16px+) on butt","Dark-mode-native: near-black backgrounds (`#0f0f0f`, `#171717`) — never pure black; Emerald green brand accent (`#3ecf8e`, `#00c573`) used sparingly as identity marker; Circular font — geometric sans-serif with rounded terminals; Source Code Pro for uppercase technical labels (1.2px letter-spacing); HSL-based color token system with alpha channels for translucent layering; Pill buttons (9999px) for primary CTAs, 6px radius for secondary; Neutral gray scale from `#171717` through `#898989` to ...",design-md/supabase/DESIGN.md
48,Superhuman,Developer Tools,"Superhuman's website feels like opening a luxury envelope — predominantly white, immaculately clean, with a single dramatic gesture of color that commands attention. The hero section is a cinematic purple gradient, a deep twilight wash of `#1b1938` that evokes the moment just before dawn, overlai...","superhuman, developer tools, light, minimal, luxury, cinematic, warm, clean, soft, ai, gradient, saturated, purple, red, white, variable font",#1b1938,#714cb6,#cbb7fb,#ffffff,#292827,Super Sans VF,Super Sans VF,"confident, bold","**Warm Cream Primary**: `#e9e5dd` background, Charcoal Ink (`#292827`) text, subtle rounded corners (8px radius), no visible border. The signature CTA — warm, muted, luxurious rather than aggressive; **Dark Primary** (on light sections): `#292827`...","**Content Card**: White background, Parchment Border (`#dcd7d3`) 1px border, 16px border-radius — clean and minimal; **Dark Surface Card**: `#292827` border on dark sections, maintaining warm-neutral tone; **Hero Surface**: Semi-transparent white ...","| Level 4 (Hero Depth) | `rgba(255, 255, 255, 0.2)` transparent border | Elements on the dark purple gradient hero |",,,"Use Super Sans VF at weight 460 as the default — it's slightly heavier than regular, which is the brand's typographic signature; Keep display headlines at 0.96 line-height — the compression is intentional and powerful; Use Warm Cream (`#e9e5dd`) for primary buttons — not white, not gray, specifically warm cream; Limit border-radius to 8px (small) and 16px (large) — the binary radius system is deliberate; Apply negative letter-spacing on headlines only (-0.63px to -1.32px) — body text stays at 0p","Use conventional font weights (400, 500, 600) — Superhuman's 460 and 540 are deliberately between standard stops; Add bright or saturated CTA colors (blue, green, red) — buttons are intentionally muted in Warm Cream or Charcoal; Introduce additional accent colors beyond Lavender Glow — the palette is deliberately restrained to one accent; Apply shadows generously — depth comes from borders, color contrast, and photography, not box-shadows; Use tight line-height on body text — display is compress","Deep purple gradient hero (`#1b1938`) contrasting against a predominantly white content body; Super Sans VF variable font with non-standard weight stops (460, 540, 600, 700) — sits between conventional weight categories; Ultra-tight display line-height (0.96) creating compressed, powerful headlines; Warm Cream (`#e9e5dd`) buttons instead of bright/saturated CTAs — understated luxury; Lavender Purple (`#cbb7fb`) as the singular accent color — a soft, approachable purple; Minimal border-radius ...",design-md/superhuman/DESIGN.md
49,Tesla,Automotive,Tesla's website is an exercise in radical subtraction — a digital showroom where the product is everything and the interface is almost nothing. The page opens with a full-viewport hero that fills the entire screen with cinematic car photography: three vehicles arranged on polished concrete agains...,"tesla, automotive, minimal, cinematic, ai, gradient, motion, blue",#3E6AE1,#393C41,#F4F4F4,#FFFFFF,#171A20,Universal Sans Display,Universal Sans Text,"modern, bold, light","All buttons use barely-rounded rectangles (4px border-radius) — creating a sharp, technical aesthetic that mirrors the precision of the vehicles.; Default: bg `#3E6AE1` (Electric Blue), text `#FFFFFF`, fontSize 14px, fontWeight 500, padding 4px wi...",Background: transparent (inherits panel white); Border: none; Shadow: none; Background: full-bleed landscape photography; Border radius: approximately 12px (subtly rounded),"| Level 1 (Frost) | `rgba(255,255,255,0.75)` backdrop | Navigation bar on scroll — frosted glass transparency |",,,"Let photography dominate every screen — the product IS the design; Use Electric Blue (`#3E6AE1`) exclusively for primary CTAs — never for decorative purposes; Maintain viewport-height sections for major content blocks — one message per screen; Keep typography at weight 400-500 only — no bold, no light, no extremes; Use 4px border-radius for all interactive elements — precision over playfulness; Trust whitespace as a luxury signal — never fill available space just because it's empty; Keep all tra","Add shadows to any element — elevation through shadow contradicts the flat, gallery aesthetic; Use more than one chromatic color besides the blue CTA — the palette is intentionally monochrome-plus-one; Apply gradients, patterns, or decorative backgrounds to surfaces — white and photography are the only backgrounds; Use text larger than 40px on the web — the typography is deliberately restrained even at hero scale; Add borders to cards or containers — separation is achieved through spacing, not l","Full-viewport hero sections (100vh) dominated by cinematic car photography with minimal overlay UI; Near-zero UI decoration: no shadows, no gradients, no borders, no patterns anywhere on the page; Single accent color — Electric Blue (`#3E6AE1`) — used exclusively for primary CTA buttons; Universal Sans font family (Display + Text) unifying web, app, and in-car interfaces; Photography-first presentation where product imagery carries all emotional weight; Frosted-glass navigation concept with t...",design-md/tesla/DESIGN.md
50,Together AI,AI & Machine Learning,"Together AI's interface is a pastel-gradient dreamscape built for enterprise AI infrastructure — a design that somehow makes GPU clusters and model inference feel light, airy, and optimistic. The hero section blooms with soft pink-blue-lavender gradients and abstract, painterly illustrations that...","together ai, ai & machine learning, dark, light, soft, sharp, technical, ai, enterprise, gradient, pill, rounded, blue, orange, pink, black, white",#ef2cc1,#bdbbff,#00000066,#ffffff,#000000,The Future,The Future,"tight, modern, technical, bold","Background: `rgba(255, 255, 255, 0.12)` (frosted glass); Text: Pure White (`#ffffff`); Radius: sharp (4px); Hover: transparent dark overlay; Background: Dark Blue (`#010120`) or Pure Black","Background: Pure White or subtle glass tint; Border: `1px solid rgba(0, 0, 0, 0.08)` on light; `1px solid rgba(255, 255, 255, 0.12)` on dark; Radius: sharp (4px) for badges and small elements; comfortable (8px) for larger containers; Shadow: dark-...","| Contained (Level 1) | `1px solid rgba(0,0,0,0.08)` (light) or `rgba(255,255,255,0.12)` (dark) | Cards, badges, containers |",,8px,"Use pastel gradients (pink/blue/lavender) for hero illustrations and decorative backgrounds; Use Dark Blue (#010120) for dark sections — never generic gray-black; Apply negative letter-spacing on all ""The Future"" text (scaled by size); Use PP Neue Montreal Mono in uppercase for section labels and technical markers; Keep border-radius sharp (4px) for badges and interactive elements; Use the dark-blue-tinted shadow for elevation; Maintain the light/dark section duality — business (light) vs resear","Don't use Brand Magenta (#ef2cc1) or Brand Orange (#fc4c02) as UI colors — they're for illustrations only; Don't use pill-shaped or generously rounded corners — the geometry is sharp; Don't use generic gray-black for dark sections — always Dark Blue (#010120); Don't use positive letter-spacing on ""The Future"" — it's always negative; Don't use bold (700+) weight — 400–500 is the full range; Don't use warm-toned shadows — always dark-blue-tinted; Don't reduce section spacing below 48px — the open ","Soft pastel gradients (pink, blue, lavender) against pure white canvas; Deep midnight blue (`#010120`) for dark/research sections — not gray-black; Custom ""The Future"" font with aggressive negative letter-spacing throughout; PP Neue Montreal Mono for uppercase technical labels; Sharp geometry (4px, 8px radius) — not rounded, not pill; Magenta (#ef2cc1) + orange (#fc4c02) brand accents in illustrations only; Lavender (#bdbbff) as a soft secondary accent; Enterprise stats prominently displayed ...",design-md/together.ai/DESIGN.md
51,Uber,Enterprise & Consumer,"Uber's design language is a masterclass in confident minimalism -- a black-and-white universe where every pixel serves a purpose and nothing decorates without earning its place. The entire experience is built on a stark duality: jet black (`#000000`) and pure white (`#ffffff`), with virtually no ...","uber, enterprise & consumer, minimal, minimalism, warm, bold, soft, geometric, pill, card-based, grid, monochrome, black, white, serif, sans-serif",#000000,#efefef,#e2e2e2,#ffffff,#4b4b4b,UberMove,UberMoveText,"bold, tight, compact, functional",Background: Uber Black (`#000000`); Text: Pure White (`#ffffff`); Padding: 10px 12px; Radius: 999px (full pill); Background: Pure White (`#ffffff`),"Background: Pure White (`#ffffff`) on white pages; no distinct card background differentiation; Border: none by default -- cards are defined by shadow, not stroke; Radius: 8px for standard content cards; 12px for featured/promoted cards; Shadow: `...","| Subtle (Level 1) | `rgba(0,0,0,0.12) 0px 4px 16px` | Standard content cards, feature blocks |",,8px,"Use true black (`#000000`) and pure white (`#ffffff`) as the primary palette -- the stark contrast IS Uber; Use 999px border-radius for all buttons, chips, and pill-shaped navigation elements; Keep all headings in UberMove Bold (700) for billboard-level impact; Use whisper-soft shadows (0.12-0.16 opacity) for card elevation -- barely visible; Maintain the compact, information-dense layout style -- Uber prioritizes efficiency over airiness; Use warm, human-centric illustrations to soften the mono","Don't introduce color into the UI chrome -- Uber's interface is strictly black, white, and gray; Don't use rounded corners less than 999px on buttons -- the full-pill shape is a core identity element; Don't apply heavy shadows or drop shadows with high opacity -- depth is whisper-subtle; Don't use serif fonts anywhere -- Uber's typography is exclusively geometric sans-serif; Don't create airy, spacious layouts with excessive whitespace -- Uber's density is intentional; Don't use gradients or col","Pure black-and-white foundation with virtually no mid-tone grays in the UI chrome; UberMove (headlines) + UberMoveText (body/UI) -- proprietary geometric sans-serif family; Pill-shaped everything: buttons, chips, nav items all use 999px border-radius; Warm, human illustrations contrasting the stark monochrome interface; Card-based layout with whisper-soft shadows (0.12-0.16 opacity); 8px spacing grid with compact, information-dense layouts; Bold photography integrated as full-bleed hero backg...",design-md/uber/DESIGN.md
52,Vercel,Developer Tools,"Vercel's website is the visual thesis of developer infrastructure made invisible — a design system so restrained it borders on philosophical. The page is overwhelmingly white (`#ffffff`) with near-black (`#171717`) text, creating a gallery-like emptiness where every element earns its pixel. This ...","vercel, developer tools, soft, technical, developer, ai, black, white",#171717,#000000,#ff5b4f,#ebf5ff,#ffffff,Geist,Geist,"sans, bold, compact, technical","Background: `#ffffff`; Text: `#171717`; Padding: 0px 6px (minimal — content-driven width); Radius: 6px (subtly rounded); Shadow: `rgb(235, 235, 235) 0px 0px 0px 1px` (ring-border)","Background: `#ffffff`; Border: via shadow — `rgba(0, 0, 0, 0.08) 0px 0px 0px 1px`; Radius: 8px (standard), 12px (featured/image cards); Shadow stack: `rgba(0,0,0,0.08) 0px 0px 0px 1px, rgba(0,0,0,0.04) 0px 2px 2px, #fafafa 0px 0px 0px 1px`; Image ...","| Ring (Level 1) | `rgba(0,0,0,0.08) 0px 0px 0px 1px` | Shadow-as-border for most elements |",,8px,"Use Geist Sans with aggressive negative letter-spacing at display sizes (-2.4px to -2.88px at 48px); Use shadow-as-border (`0px 0px 0px 1px rgba(0,0,0,0.08)`) instead of traditional CSS borders; Enable `""liga""` on all Geist text — ligatures are structural, not optional; Use the three-weight system: 400 (body), 500 (UI), 600 (headings); Apply workflow accent colors (Red/Pink/Blue) only in their workflow context; Use multi-layer shadow stacks for cards (border + elevation + ambient + inner highlig","Don't use positive letter-spacing on Geist Sans — it's always negative or zero; Don't use weight 700 (bold) on body text — 600 is the maximum, used only for headings; Don't use traditional CSS `border` on cards — use the shadow-border technique; Don't introduce warm colors (oranges, yellows, greens) into the UI chrome; Don't apply the workflow accent colors (Ship Red, Preview Pink, Develop Blue) decoratively; Don't use heavy shadows (> 0.1 opacity) — the shadow system is whisper-level; Don't inc","Geist Sans with extreme negative letter-spacing (-2.4px to -2.88px at display) — text as compressed infrastructure; Geist Mono for code and technical labels with OpenType `""liga""` globally; Shadow-as-border technique: `box-shadow 0px 0px 0px 1px` replaces traditional borders throughout; Multi-layer shadow stacks for nuanced depth (border + elevation + ambient in single declarations); Near-pure white canvas with `#171717` text — not quite black, creating micro-contrast softness; Workflow-speci...",design-md/vercel/DESIGN.md
